DateTime,Open,High,Low,Close
2008-01-02 09:30:00,1467.97,1470.14,1467.97,1470.05
2008-01-02 09:35:00,1470.17,1470.17,1467.88,1469.49
2008-01-02 09:40:00,1469.78,1471.71,1469.39,1471.22
2008-01-02 09:45:00,1471.56,1471.77,1470.69,1470.78
2008-01-02 09:50:00,1470.28,1471.06,1470.1,1470.74
2008-01-02 09:55:00,1470.81,1470.81,1468.42,1469.37
2008-01-02 10:00:00,1467.11,1467.11,1461.02,1462.94
2008-01-02 10:05:00,1462.67,1462.91,1459.83,1461.9
2008-01-02 10:10:00,1462.54,1462.54,1459.64,1459.64
2008-01-02 10:15:00,1459.59,1460.17,1457.25,1458.55
2008-01-02 10:20:00,1457.86,1459.87,1457.86,1459.5
2008-01-02 10:25:00,1459.36,1460.08,1459.36,1459.91
2008-01-02 10:30:00,1459.76,1459.76,1457.87,1459.12
2008-01-02 10:35:00,1458.83,1460.1,1458.83,1458.91
2008-01-02 10:40:00,1458.28,1459.51,1457.97,1457.97
2008-01-02 10:45:00,1458.46,1459.66,1458.34,1458.5
2008-01-02 10:50:00,1457.92,1458.88,1457.61,1458.37
2008-01-02 10:55:00,1458.35,1458.62,1456.92,1456.92
2008-01-02 11:00:00,1457.0,1458.26,1456.61,1457.03
2008-01-02 11:05:00,1456.84,1458.05,1456.64,1457.38
2008-01-02 11:10:00,1457.68,1458.26,1454.56,1455.0
2008-01-02 11:15:00,1454.81,1455.29,1453.2,1453.69
2008-01-02 11:20:00,1452.79,1452.85,1451.71,1452.85
2008-01-02 11:25:00,1452.9,1453.68,1452.8,1453.48
2008-01-02 11:30:00,1453.39,1453.39,1451.49,1451.68
2008-01-02 11:35:00,1451.79,1451.85,1450.69,1451.14
2008-01-02 11:40:00,1451.12,1451.12,1449.7,1449.97
2008-01-02 11:45:00,1449.92,1449.92,1448.72,1449.46
2008-01-02 11:50:00,1449.11,1451.43,1449.11,1451.19
2008-01-02 11:55:00,1451.21,1452.49,1450.86,1452.49
2008-01-02 12:00:00,1452.37,1452.37,1451.48,1451.48
2008-01-02 12:05:00,1451.19,1451.26,1448.15,1448.15
2008-01-02 12:10:00,1448.12,1449.04,1448.12,1448.62
2008-01-02 12:15:00,1448.56,1448.56,1446.89,1447.52
2008-01-02 12:20:00,1447.92,1447.92,1445.66,1445.94
2008-01-02 12:25:00,1446.02,1446.88,1445.97,1446.43
2008-01-02 12:30:00,1446.26,1446.91,1445.96,1446.91
2008-01-02 12:35:00,1446.9,1448.87,1446.9,1448.87
2008-01-02 12:40:00,1448.88,1448.88,1448.11,1448.31
2008-01-02 12:45:00,1447.96,1447.96,1447.17,1447.45
2008-01-02 12:50:00,1447.38,1447.38,1446.0,1447.07
2008-01-02 12:55:00,1447.39,1448.74,1447.06,1447.77
2008-01-02 13:00:00,1448.01,1448.92,1447.53,1447.53
2008-01-02 13:05:00,1447.38,1447.92,1445.07,1445.45
2008-01-02 13:10:00,1445.22,1445.65,1443.97,1444.51
2008-01-02 13:15:00,1444.83,1446.2,1444.83,1446.11
2008-01-02 13:20:00,1446.14,1446.85,1445.75,1446.47
2008-01-02 13:25:00,1446.41,1446.43,1444.73,1446.24
2008-01-02 13:30:00,1446.12,1447.64,1445.41,1447.52
2008-01-02 13:35:00,1447.5,1448.52,1447.35,1447.96
2008-01-02 13:40:00,1447.62,1448.38,1447.31,1448.31
2008-01-02 13:45:00,1448.33,1450.05,1448.3,1449.79
2008-01-02 13:50:00,1450.13,1450.37,1449.14,1449.16
2008-01-02 13:55:00,1449.18,1449.6,1448.78,1448.87
2008-01-02 14:00:00,1449.4,1452.48,1449.4,1449.59
2008-01-02 14:05:00,1449.73,1454.57,1448.81,1454.57
2008-01-02 14:10:00,1454.95,1456.84,1454.48,1456.84
2008-01-02 14:15:00,1456.81,1457.56,1455.42,1456.72
2008-01-02 14:20:00,1456.22,1456.22,1453.78,1453.99
2008-01-02 14:25:00,1454.0,1455.22,1453.5,1453.5
2008-01-02 14:30:00,1453.73,1454.86,1453.57,1454.04
2008-01-02 14:35:00,1453.91,1453.91,1449.57,1449.57
2008-01-02 14:40:00,1449.23,1450.09,1447.83,1448.66
2008-01-02 14:45:00,1449.02,1450.08,1448.37,1449.8
2008-01-02 14:50:00,1449.81,1450.83,1449.35,1450.15
2008-01-02 14:55:00,1450.04,1450.04,1446.72,1446.72
2008-01-02 15:00:00,1446.64,1446.64,1444.84,1445.42
2008-01-02 15:05:00,1445.2,1445.44,1442.07,1442.83
2008-01-02 15:10:00,1442.36,1444.79,1442.26,1444.26
2008-01-02 15:15:00,1444.15,1444.66,1443.25,1443.45
2008-01-02 15:20:00,1443.24,1445.16,1442.54,1445.14
2008-01-02 15:25:00,1444.69,1445.82,1444.15,1444.37
2008-01-02 15:30:00,1444.0,1446.21,1444.0,1446.21
2008-01-02 15:35:00,1446.67,1447.53,1446.2,1446.75
2008-01-02 15:40:00,1446.83,1448.76,1446.22,1447.91
2008-01-02 15:45:00,1447.34,1447.41,1445.29,1445.47
2008-01-02 15:50:00,1445.38,1447.06,1444.97,1447.01
2008-01-02 15:55:00,1447.13,1448.02,1447.13,1447.22
2008-01-02 16:00:00,1447.67,1447.67,1447.17,1447.17
2008-01-02 16:05:00,1447.17,1447.17,1447.16,1447.16
2008-01-03 09:30:00,1447.55,1452.13,1447.55,1452.13
2008-01-03 09:35:00,1452.51,1452.55,1451.37,1452.09
2008-01-03 09:40:00,1452.21,1452.21,1449.54,1449.54
2008-01-03 09:45:00,1449.25,1450.17,1448.0,1448.0
2008-01-03 09:50:00,1447.77,1449.65,1447.37,1448.32
2008-01-03 09:55:00,1448.28,1450.34,1447.9,1449.78
2008-01-03 10:00:00,1450.66,1453.61,1450.66,1452.59
2008-01-03 10:05:00,1452.57,1455.74,1452.27,1455.58
2008-01-03 10:10:00,1455.27,1455.27,1453.34,1453.34
2008-01-03 10:15:00,1452.81,1453.03,1451.67,1451.82
2008-01-03 10:20:00,1451.94,1452.44,1450.41,1451.05
2008-01-03 10:25:00,1450.76,1451.9,1450.25,1451.21
2008-01-03 10:30:00,1452.06,1452.94,1450.7,1452.94
2008-01-03 10:35:00,1453.33,1453.98,1450.38,1450.97
2008-01-03 10:40:00,1451.0,1451.58,1449.27,1449.42
2008-01-03 10:45:00,1449.08,1450.85,1449.08,1450.16
2008-01-03 10:50:00,1449.95,1450.19,1448.83,1449.03
2008-01-03 10:55:00,1448.31,1450.12,1448.31,1450.08
2008-01-03 11:00:00,1450.01,1451.71,1450.01,1451.71
2008-01-03 11:05:00,1451.74,1451.99,1450.78,1451.99
2008-01-03 11:10:00,1453.19,1453.68,1451.32,1451.7
2008-01-03 11:15:00,1451.8,1452.95,1451.12,1452.9
2008-01-03 11:20:00,1453.38,1454.11,1452.55,1452.99
2008-01-03 11:25:00,1453.05,1453.52,1452.15,1452.16
2008-01-03 11:30:00,1451.86,1453.07,1451.76,1453.01
2008-01-03 11:35:00,1452.98,1452.98,1451.53,1452.08
2008-01-03 11:40:00,1452.07,1454.11,1452.07,1453.24
2008-01-03 11:45:00,1453.02,1454.01,1453.02,1454.01
2008-01-03 11:50:00,1454.05,1454.93,1453.69,1454.53
2008-01-03 11:55:00,1454.54,1454.8,1453.66,1453.91
2008-01-03 12:00:00,1453.51,1454.57,1453.51,1454.07
2008-01-03 12:05:00,1454.26,1454.96,1453.77,1454.72
2008-01-03 12:10:00,1454.82,1455.68,1454.82,1455.46
2008-01-03 12:15:00,1454.93,1455.51,1454.81,1455.38
2008-01-03 12:20:00,1455.74,1455.8,1454.8,1455.11
2008-01-03 12:25:00,1455.2,1456.0,1454.91,1455.89
2008-01-03 12:30:00,1456.65,1456.8,1455.94,1456.49
2008-01-03 12:35:00,1456.53,1456.57,1454.95,1454.95
2008-01-03 12:40:00,1454.95,1454.95,1452.74,1453.07
2008-01-03 12:45:00,1452.97,1453.61,1452.83,1453.59
2008-01-03 12:50:00,1454.03,1454.03,1452.39,1453.1
2008-01-03 12:55:00,1453.62,1454.29,1452.79,1454.27
2008-01-03 13:00:00,1454.03,1454.03,1452.18,1452.5
2008-01-03 13:05:00,1452.38,1452.41,1451.67,1452.2
2008-01-03 13:10:00,1451.78,1452.74,1451.62,1452.72
2008-01-03 13:15:00,1452.74,1452.74,1451.1,1451.1
2008-01-03 13:20:00,1451.27,1451.72,1450.9,1451.59
2008-01-03 13:25:00,1451.66,1452.0,1451.46,1452.0
2008-01-03 13:30:00,1452.2,1452.54,1451.78,1451.78
2008-01-03 13:35:00,1452.1,1452.18,1451.68,1452.18
2008-01-03 13:40:00,1452.53,1452.82,1452.31,1452.5
2008-01-03 13:45:00,1452.55,1452.84,1452.0,1452.22
2008-01-03 13:50:00,1452.21,1452.45,1451.86,1451.94
2008-01-03 13:55:00,1452.01,1452.04,1449.91,1449.97
2008-01-03 14:00:00,1449.99,1450.45,1449.53,1449.9
2008-01-03 14:05:00,1449.87,1450.3,1449.87,1450.11
2008-01-03 14:10:00,1449.84,1451.11,1448.46,1450.6
2008-01-03 14:15:00,1450.55,1451.55,1450.18,1451.29
2008-01-03 14:20:00,1451.58,1451.58,1451.1,1451.44
2008-01-03 14:25:00,1451.42,1451.99,1451.07,1451.07
2008-01-03 14:30:00,1451.12,1451.37,1450.33,1450.78
2008-01-03 14:35:00,1450.82,1451.64,1450.65,1451.64
2008-01-03 14:40:00,1451.68,1451.72,1450.17,1450.5
2008-01-03 14:45:00,1450.45,1450.58,1450.0,1450.17
2008-01-03 14:50:00,1450.09,1450.98,1450.03,1450.21
2008-01-03 14:55:00,1450.21,1450.21,1449.28,1449.51
2008-01-03 15:00:00,1449.8,1449.98,1448.65,1449.01
2008-01-03 15:05:00,1448.98,1449.87,1448.8,1449.87
2008-01-03 15:10:00,1449.66,1449.77,1448.98,1449.07
2008-01-03 15:15:00,1449.17,1449.17,1446.54,1446.7
2008-01-03 15:20:00,1446.54,1446.73,1445.93,1446.13
2008-01-03 15:25:00,1446.22,1446.22,1443.73,1444.27
2008-01-03 15:30:00,1444.51,1445.17,1443.89,1444.03
2008-01-03 15:35:00,1444.47,1446.37,1444.47,1445.77
2008-01-03 15:40:00,1446.06,1447.04,1446.06,1446.82
2008-01-03 15:45:00,1446.83,1447.94,1446.67,1446.98
2008-01-03 15:50:00,1446.87,1447.3,1446.33,1446.63
2008-01-03 15:55:00,1446.56,1446.96,1446.21,1446.85
2008-01-03 16:00:00,1446.91,1447.17,1446.91,1447.17
2008-01-03 16:05:00,1447.17,1447.17,1447.16,1447.16
2008-01-04 09:30:00,1444.01,1444.01,1433.38,1433.38
2008-01-04 09:35:00,1433.65,1433.65,1429.21,1429.21
2008-01-04 09:40:00,1429.32,1432.63,1429.29,1432.44
2008-01-04 09:45:00,1432.49,1432.49,1429.78,1430.91
2008-01-04 09:50:00,1430.76,1431.87,1430.41,1430.75
2008-01-04 09:55:00,1429.98,1431.41,1429.39,1431.18
2008-01-04 10:00:00,1431.88,1433.37,1428.43,1429.35
2008-01-04 10:05:00,1430.85,1431.78,1430.14,1431.78
2008-01-04 10:10:00,1431.79,1431.79,1429.12,1429.82
2008-01-04 10:15:00,1429.77,1429.93,1427.41,1427.41
2008-01-04 10:20:00,1427.16,1428.92,1427.16,1427.79
2008-01-04 10:25:00,1427.57,1427.57,1425.26,1425.4
2008-01-04 10:30:00,1425.6,1426.04,1424.48,1426.04
2008-01-04 10:35:00,1426.2,1427.14,1424.95,1425.1
2008-01-04 10:40:00,1425.11,1426.93,1425.08,1425.47
2008-01-04 10:45:00,1425.64,1426.01,1422.74,1423.66
2008-01-04 10:50:00,1423.61,1423.83,1422.09,1422.09
2008-01-04 10:55:00,1421.82,1422.59,1420.57,1420.95
2008-01-04 11:00:00,1421.15,1422.21,1421.15,1421.6
2008-01-04 11:05:00,1421.61,1421.66,1419.36,1420.73
2008-01-04 11:10:00,1420.81,1423.48,1420.45,1423.01
2008-01-04 11:15:00,1423.05,1423.05,1420.52,1420.86
2008-01-04 11:20:00,1421.26,1422.94,1421.26,1422.92
2008-01-04 11:25:00,1423.35,1426.02,1423.35,1425.87
2008-01-04 11:30:00,1425.75,1426.36,1425.67,1425.76
2008-01-04 11:35:00,1425.82,1425.82,1423.26,1423.69
2008-01-04 11:40:00,1423.54,1423.76,1422.79,1423.59
2008-01-04 11:45:00,1423.27,1423.74,1423.04,1423.5
2008-01-04 11:50:00,1423.6,1425.47,1423.6,1424.24
2008-01-04 11:55:00,1425.0,1425.42,1424.47,1424.88
2008-01-04 12:00:00,1425.07,1426.85,1425.07,1426.72
2008-01-04 12:05:00,1426.44,1428.7,1426.44,1428.7
2008-01-04 12:10:00,1428.71,1428.88,1428.04,1428.32
2008-01-04 12:15:00,1428.25,1428.39,1427.51,1427.68
2008-01-04 12:20:00,1427.6,1427.6,1424.64,1424.64
2008-01-04 12:25:00,1424.68,1424.87,1423.15,1423.57
2008-01-04 12:30:00,1423.57,1424.22,1421.53,1421.53
2008-01-04 12:35:00,1421.61,1422.89,1421.53,1421.73
2008-01-04 12:40:00,1421.46,1423.35,1421.46,1423.17
2008-01-04 12:45:00,1423.23,1424.92,1422.72,1424.92
2008-01-04 12:50:00,1424.88,1424.93,1423.62,1423.87
2008-01-04 12:55:00,1423.43,1423.84,1423.1,1423.31
2008-01-04 13:00:00,1423.32,1423.32,1422.46,1422.65
2008-01-04 13:05:00,1422.69,1422.7,1421.61,1422.39
2008-01-04 13:10:00,1422.29,1423.42,1421.66,1422.89
2008-01-04 13:15:00,1423.29,1423.89,1422.65,1422.65
2008-01-04 13:20:00,1422.32,1422.67,1420.58,1420.84
2008-01-04 13:25:00,1420.97,1421.73,1420.08,1421.68
2008-01-04 13:30:00,1421.55,1421.96,1421.18,1421.7
2008-01-04 13:35:00,1421.6,1421.6,1417.39,1418.53
2008-01-04 13:40:00,1418.23,1419.56,1417.8,1419.05
2008-01-04 13:45:00,1418.47,1419.43,1418.04,1419.43
2008-01-04 13:50:00,1420.21,1423.46,1420.21,1423.19
2008-01-04 13:55:00,1423.14,1423.5,1422.26,1422.3
2008-01-04 14:00:00,1422.14,1422.14,1419.36,1419.67
2008-01-04 14:05:00,1420.04,1420.33,1418.5,1419.36
2008-01-04 14:10:00,1419.47,1419.98,1417.75,1418.4
2008-01-04 14:15:00,1418.37,1420.04,1417.24,1418.43
2008-01-04 14:20:00,1419.25,1419.25,1415.39,1415.81
2008-01-04 14:25:00,1416.03,1416.99,1415.44,1415.44
2008-01-04 14:30:00,1415.38,1416.33,1414.78,1415.82
2008-01-04 14:35:00,1415.83,1416.16,1414.28,1414.28
2008-01-04 14:40:00,1414.41,1414.41,1413.22,1413.32
2008-01-04 14:45:00,1413.52,1415.43,1413.52,1414.88
2008-01-04 14:50:00,1415.09,1415.25,1413.27,1413.27
2008-01-04 14:55:00,1412.55,1417.31,1412.0,1416.83
2008-01-04 15:00:00,1416.79,1418.29,1416.19,1417.34
2008-01-04 15:05:00,1417.3,1419.3,1416.98,1417.24
2008-01-04 15:10:00,1417.88,1417.88,1415.58,1415.7
2008-01-04 15:15:00,1415.63,1417.65,1414.79,1416.48
2008-01-04 15:20:00,1416.56,1416.71,1413.68,1413.83
2008-01-04 15:25:00,1414.48,1418.97,1414.48,1418.48
2008-01-04 15:30:00,1418.14,1419.72,1417.1,1417.33
2008-01-04 15:35:00,1416.93,1417.48,1415.84,1416.64
2008-01-04 15:40:00,1417.22,1417.22,1414.58,1414.58
2008-01-04 15:45:00,1414.93,1415.33,1412.78,1413.19
2008-01-04 15:50:00,1412.89,1413.88,1411.5,1412.48
2008-01-04 15:55:00,1412.58,1412.63,1411.68,1411.68
2008-01-04 16:00:00,1411.19,1411.64,1411.19,1411.62
2008-01-04 16:05:00,1411.63,1411.63,1411.62,1411.63
2008-01-07 09:30:00,1414.07,1420.14,1414.07,1419.73
2008-01-07 09:35:00,1419.16,1419.16,1415.38,1416.61
2008-01-07 09:40:00,1416.73,1419.09,1416.73,1419.02
2008-01-07 09:45:00,1419.44,1422.21,1419.44,1421.0
2008-01-07 09:50:00,1420.79,1421.72,1419.26,1419.77
2008-01-07 09:55:00,1419.66,1420.99,1418.76,1418.76
2008-01-07 10:00:00,1418.62,1418.62,1416.73,1416.94
2008-01-07 10:05:00,1417.43,1417.82,1416.3,1416.49
2008-01-07 10:10:00,1416.45,1416.62,1414.56,1414.77
2008-01-07 10:15:00,1414.02,1414.09,1410.88,1410.88
2008-01-07 10:20:00,1410.06,1411.38,1408.69,1410.63
2008-01-07 10:25:00,1411.03,1411.16,1406.2,1406.2
2008-01-07 10:30:00,1406.32,1407.5,1403.45,1404.76
2008-01-07 10:35:00,1404.75,1407.3,1403.47,1407.17
2008-01-07 10:40:00,1407.21,1409.9,1407.03,1409.56
2008-01-07 10:45:00,1409.39,1409.39,1407.71,1408.82
2008-01-07 10:50:00,1408.79,1410.66,1408.66,1409.13
2008-01-07 10:55:00,1409.8,1409.8,1407.57,1408.44
2008-01-07 11:00:00,1408.68,1411.97,1408.68,1410.76
2008-01-07 11:05:00,1410.88,1412.9,1410.54,1412.68
2008-01-07 11:10:00,1412.92,1413.55,1412.22,1413.55
2008-01-07 11:15:00,1413.46,1414.57,1413.12,1413.19
2008-01-07 11:20:00,1413.13,1414.12,1412.25,1413.0
2008-01-07 11:25:00,1412.91,1414.44,1411.56,1414.44
2008-01-07 11:30:00,1413.97,1418.53,1413.76,1418.53
2008-01-07 11:35:00,1418.52,1419.34,1417.35,1417.35
2008-01-07 11:40:00,1417.39,1419.61,1417.07,1419.41
2008-01-07 11:45:00,1419.62,1420.45,1418.09,1418.09
2008-01-07 11:50:00,1418.06,1419.1,1417.69,1417.69
2008-01-07 11:55:00,1417.74,1417.9,1417.02,1417.9
2008-01-07 12:00:00,1417.61,1418.63,1416.44,1417.83
2008-01-07 12:05:00,1418.05,1418.05,1415.0,1415.0
2008-01-07 12:10:00,1414.72,1416.23,1414.35,1416.19
2008-01-07 12:15:00,1415.6,1415.6,1412.67,1415.19
2008-01-07 12:20:00,1415.35,1417.37,1414.55,1417.37
2008-01-07 12:25:00,1417.4,1419.49,1417.13,1417.78
2008-01-07 12:30:00,1417.74,1420.33,1417.74,1420.33
2008-01-07 12:35:00,1420.72,1421.18,1419.1,1420.83
2008-01-07 12:40:00,1421.19,1421.56,1418.63,1419.04
2008-01-07 12:45:00,1419.01,1419.62,1418.46,1419.62
2008-01-07 12:50:00,1420.32,1423.87,1420.32,1423.78
2008-01-07 12:55:00,1423.38,1423.63,1421.98,1422.81
2008-01-07 13:00:00,1421.95,1422.3,1421.15,1421.21
2008-01-07 13:05:00,1421.87,1421.87,1420.02,1421.18
2008-01-07 13:10:00,1420.91,1422.31,1419.46,1419.97
2008-01-07 13:15:00,1419.91,1422.17,1419.7,1422.17
2008-01-07 13:20:00,1422.13,1422.3,1420.81,1421.18
2008-01-07 13:25:00,1421.07,1421.32,1419.5,1420.74
2008-01-07 13:30:00,1419.99,1421.0,1418.88,1420.02
2008-01-07 13:35:00,1420.06,1420.33,1418.89,1419.72
2008-01-07 13:40:00,1419.62,1419.62,1415.63,1415.63
2008-01-07 13:45:00,1415.05,1415.56,1414.25,1415.56
